 ,Label,Area,Mean,Min,Max,X,Y,
128,,2.029E-5,255,255,255,5.727,0.160,
129,,2.029E-5,255,255,255,3.268,0.164,
130,,2.029E-5,255,255,255,5.745,0.164,
131,,2.029E-5,255,255,255,3.250,0.169,
132,,2.029E-5,255,255,255,5.759,0.169,
133,,2.029E-5,255,255,255,3.236,0.173,
134,,6.087E-5,255,255,255,4.926,0.173,
135,,2.029E-5,255,255,255,5.777,0.173,
136,,2.029E-5,255,255,255,3.223,0.178,
137,,2.029E-5,255,255,255,5.791,0.178,
138,,2.029E-5,255,255,255,3.205,0.182,
139,,1.623E-4,255,255,255,4.361,0.187,
140,,2.029E-5,255,255,255,5.804,0.182,
141,,2.029E-5,255,255,255,3.191,0.187,
142,,2.029E-5,255,255,255,5.822,0.187,
143,,2.029E-5,255,255,255,3.178,0.191,
144,,4.058E-5,255,255,255,5.063,0.191,
145,,8.116E-5,255,255,255,5.126,0.194,
146,,2.029E-5,255,255,255,5.836,0.191,
147,,2.029E-5,255,255,255,3.164,0.196,
148,,2.029E-5,255,255,255,5.849,0.196,
149,,2.029E-5,255,255,255,3.146,0.200,
150,,4.058E-5,255,255,255,4.396,0.200,
151,,2.029E-5,255,255,255,5.863,0.200,
152,,2.029E-5,255,255,255,3.133,0.205,
153,,4.058E-5,255,255,255,5.126,0.205,
154,,2.029E-5,255,255,255,5.876,0.205,
155,,2.029E-5,255,255,255,3.119,0.209,
156,,2.029E-5,255,255,255,5.894,0.209,
157,,2.029E-5,255,255,255,3.106,0.214,
158,,4.058E-5,255,255,255,3.482,0.214,
159,,2.029E-5,255,255,255,5.908,0.214,
160,,2.029E-5,255,255,255,3.092,0.218,
161,,4.058E-5,255,255,255,4.464,0.218,
162,,2.029E-5,255,255,255,5.921,0.218,
163,,2.029E-5,255,255,255,3.079,0.223,
164,,8.116E-5,255,255,255,3.489,0.225,
165,,2.029E-5,255,255,255,5.935,0.223,
166,,2.029E-5,255,255,255,3.065,0.227,
167,,6.087E-5,255,255,255,4.908,0.227,
168,,2.029E-5,255,255,255,5.948,0.227,
169,,2.029E-5,255,255,255,3.052,0.232,
170,,4.058E-5,255,255,255,5.851,0.232,
171,,2.029E-5,255,255,255,5.962,0.232,
172,,2.029E-5,255,255,255,3.038,0.236,
173,,6.087E-5,255,255,255,3.475,0.236,
174,,4.058E-5,255,255,255,5.342,0.236,
175,,2.029E-5,255,255,255,5.975,0.236,
176,,2.029E-5,255,255,255,3.025,0.241,
177,,4.058E-5,255,255,255,3.068,0.241,
