 ,Area,Mean,Min,Max,X,Y
3559,4.058E-5,255,255,255,3.514,7.070
3560,2.029E-5,255,255,255,1.119,7.074
3561,2.029E-5,255,255,255,5.714,7.074
3562,2.029E-5,255,255,255,5.854,7.074
3563,4.058E-5,255,255,255,5.534,7.086
3564,2.029E-5,255,255,255,6.610,7.083
3565,2.029E-5,255,255,255,6.750,7.083
3566,2.029E-5,255,255,255,3.435,7.088
3567,2.029E-5,255,255,255,7.002,7.088
3568,4.058E-5,255,255,255,4.450,7.092
3569,2.029E-5,255,255,255,7.061,7.092
3570,4.058E-5,255,255,255,1.773,7.099
3571,4.058E-5,255,255,255,3.590,7.097
3572,2.029E-5,255,255,255,6.390,7.097
3573,2.029E-5,255,255,255,3.471,7.101
3574,2.029E-5,255,255,255,3.507,7.101
3575,8.116E-5,255,255,255,5.374,7.104
3576,2.029E-5,255,255,255,5.601,7.101
3577,2.029E-5,255,255,255,0.975,7.106
3578,2.029E-5,255,255,255,1.561,7.106
3579,4.058E-5,255,255,255,7.038,7.108
3580,2.029E-5,255,255,255,7.610,7.106
3581,2.029E-5,255,255,255,0.854,7.110
3582,2.029E-5,255,255,255,2.034,7.110
3583,2.029E-5,255,255,255,3.520,7.110
3584,2.029E-5,255,255,255,1.444,7.115
3585,2.029E-5,255,255,255,2.727,7.115
3586,2.029E-5,255,255,255,3.061,7.115
3587,2.029E-5,255,255,255,6.029,7.115
3588,6.087E-5,255,255,255,6.115,7.119
3589,4.058E-5,255,255,255,3.509,7.119
3590,2.029E-5,255,255,255,1.182,7.124
3591,2.029E-5,255,255,255,3.025,7.124
3592,2.029E-5,255,255,255,7.038,7.124
3593,2.029E-5,255,255,255,0.926,7.128
3594,2.029E-5,255,255,255,4.980,7.128
3595,2.029E-5,255,255,255,4.998,7.128
3596,4.058E-5,255,255,255,5.887,7.128
3597,4.058E-5,255,255,255,6.065,7.131
3598,2.029E-5,255,255,255,6.755,7.128
3599,2.029E-5,255,255,255,1.034,7.133
3600,2.029E-5,255,255,255,2.200,7.133
3601,2.029E-5,255,255,255,7.435,7.133
3602,2.029E-5,255,255,255,1.083,7.137
3603,4.058E-5,255,255,255,1.725,7.137
3604,2.029E-5,255,255,255,1.745,7.137
3605,2.029E-5,255,255,255,2.507,7.137
3606,2.029E-5,255,255,255,3.421,7.137
3607,4.058E-5,255,255,255,6.011,7.140
3608,2.029E-5,255,255,255,5.759,7.142
3609,6.087E-5,255,255,255,6.107,7.145
3610,2.029E-5,255,255,255,6.822,7.142
3611,2.029E-5,255,255,255,6.097,7.146
3612,2.029E-5,255,255,255,7.439,7.146
3613,2.029E-5,255,255,255,1.196,7.151
3614,2.029E-5,255,255,255,2.142,7.151
3615,2.029E-5,255,255,255,2.223,7.151
3616,2.029E-5,255,255,255,4.899,7.151
3617,4.058E-5,255,255,255,1.027,7.155
3618,2.029E-5,255,255,255,7.034,7.155
3619,2.029E-5,255,255,255,1.727,7.160
3620,2.029E-5,255,255,255,2.291,7.160
3621,2.029E-5,255,255,255,3.340,7.160
3622,2.029E-5,255,255,255,3.358,7.160
3623,2.029E-5,255,255,255,5.088,7.160
3624,4.058E-5,255,255,255,6.079,7.162
3625,2.029E-5,255,255,255,6.394,7.160
3626,2.029E-5,255,255,255,1.043,7.164
3627,2.029E-5,255,255,255,1.106,7.164
3628,4.058E-5,255,255,255,1.117,7.167
3629,2.029E-5,255,255,255,5.957,7.164
3630,2.029E-5,255,255,255,7.182,7.164
3631,2.029E-5,255,255,255,2.462,7.169
3632,2.029E-5,255,255,255,3.664,7.169
3633,2.029E-5,255,255,255,4.926,7.169
3634,2.029E-5,255,255,255,4.980,7.169
3635,2.029E-5,255,255,255,6.705,7.169
3636,2.029E-5,255,255,255,7.011,7.169
3637,2.029E-5,255,255,255,7.101,7.169
3638,2.029E-5,255,255,255,7.196,7.169
3639,2.029E-5,255,255,255,1.232,7.173
3640,2.029E-5,255,255,255,1.664,7.173
3641,2.029E-5,255,255,255,1.786,7.173
3642,2.029E-5,255,255,255,1.795,7.173
3643,2.029E-5,255,255,255,3.574,7.173
3644,2.029E-5,255,255,255,6.773,7.173
3645,2.029E-5,255,255,255,2.511,7.178
3646,2.029E-5,255,255,255,5.295,7.178
3647,4.058E-5,255,255,255,6.054,7.178
3648,2.029E-5,255,255,255,7.083,7.178
3649,2.029E-5,255,255,255,3.547,7.182
3650,2.029E-5,255,255,255,4.863,7.182
3651,2.029E-5,255,255,255,6.070,7.182
3652,2.029E-5,255,255,255,6.079,7.182
3653,2.029E-5,255,255,255,6.881,7.182
3654,2.029E-5,255,255,255,7.200,7.182
3655,6.087E-5,255,255,255,1.013,7.190
3656,2.029E-5,255,255,255,1.489,7.187
3657,2.029E-5,255,255,255,5.426,7.187
3658,4.058E-5,255,255,255,7.092,7.189
3659,2.029E-5,255,255,255,1.250,7.191
3660,2.029E-5,255,255,255,1.439,7.191
3661,2.029E-5,255,255,255,3.412,7.191
3662,2.029E-5,255,255,255,5.218,7.191
3663,2.029E-5,255,255,255,1.146,7.200
3664,2.029E-5,255,255,255,1.155,7.200
3665,2.029E-5,255,255,255,1.241,7.200
3666,2.029E-5,255,255,255,1.529,7.200
3667,2.029E-5,255,255,255,3.304,7.200
3668,2.029E-5,255,255,255,4.178,7.200
3669,4.058E-5,255,255,255,5.392,7.203
3670,2.029E-5,255,255,255,5.444,7.200
3671,2.029E-5,255,255,255,5.930,7.200
3672,4.058E-5,255,255,255,6.694,7.203
3673,4.058E-5,255,255,255,7.146,7.203
3674,4.058E-5,255,255,255,4.482,7.205
3675,4.058E-5,255,255,255,5.068,7.205
3676,2.029E-5,255,255,255,5.291,7.205
3677,2.029E-5,255,255,255,5.367,7.205
3678,2.029E-5,255,255,255,5.403,7.205
3679,4.058E-5,255,255,255,6.856,7.205
3680,2.029E-5,255,255,255,7.200,7.205
3681,2.029E-5,255,255,255,7.579,7.205
3682,2.029E-5,255,255,255,1.137,7.209
3683,2.029E-5,255,255,255,1.164,7.209
3684,2.029E-5,255,255,255,1.493,7.209
3685,6.087E-5,255,255,255,1.660,7.209
3686,2.029E-5,255,255,255,2.836,7.209
